# Generated by scripts/build_other_language_place_names.py. Do not edit by hand.
# Names from Wikipedia (CC BY-SA 4.0):
#   https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
#   https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
other_language_place_name;language;meteoswiss_point_name;source
Berninahospiz;de;Ospizio Bernina;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Pagiai;rm;Pagig;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Parpaun;rm;Parpan;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Pasqual;rm;Paspels;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Peterlingen;de;Payerne;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Finges;fr;Pfyn;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Faveras;rm;Pfäfers;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Perles;fr;Pieterlen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Rötlspitze;de;Piz Cotschen;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Schattig Wichel;de;Piz Giuv;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Laaxer Stöckli;de;Piz Grisch;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Piz Güglia/Piz Gelgia;rm;Piz Julier;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Piz d'Es-cha;rm;Piz Kesch;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Tödi;de;Piz Russein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Sulnerspitze;de;Piz Vadret;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Tambohorn;de;Pizzo Tambo;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Planfayon;fr;Plaffeien;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Puntraschigna;rm;Pontresina;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Pruntrut;de;Porrentruy;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Purtagn;rm;Portein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Prada;rm;Praden;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Prez;rm;Präz;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Remüs;de;Ramosch;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Rarogne;fr;Raron;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Dirlaret;fr;Rechthalten;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Razén;rm;Rhäzüns;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Piz Barghis;rm;Ringelspitz;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Roten;rm;Rodels;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Roggenbourg;fr;Roggenburg;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Roffna;de;Rona;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Runtgaglia;rm;Rongellen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Giuvaulta;rm;Rothenbrunnen;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Ruis;de;Rueun;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Reschenez;fr;Röschenz;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Grütli;fr;Rütli;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Scanfs;de;S-chanf;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Scarl;de;S-charl;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Gessenay;fr;Saanen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Saas en il Partenz;rm;Saas im Prättigau;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Sausch;rm;Saas im Prättigau;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Sagens;de;Sagogn;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Salquenen;fr;Salgesch;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Salux;de;Salouf;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Salvagny;fr;Salvenach;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Samaden;de;Samedan;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
San Bernardin;rm;San Bernardino;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Suagnign;rm;Savognin;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Schaffhouse;fr;Schaffhausen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Schaffusa;rm;Schaffhausen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Sciaffusa;it;Schaffhausen;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Scharons;rm;Scharans;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Sched;rm;Scheid;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Scheulte;fr;Schelten;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Aschera;rm;Schiers;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Schleuis;de;Schluein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Forges;fr;Schmitten FR;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Lac Noir;fr;Schwarzsee;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Schwytz;fr;Schwyz ;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Svitto;it;Schwyz ;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Sviz;rm;Schwyz ;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Schuls;de;Scuol;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Elay;fr;Seehof;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Saucy;fr;Selzach;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Seewis;de;Sevgein;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Seth;de;Siat;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Siders;de;Sierre;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Val Silauna;rm;Silenen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Seglias;rm;Sils im Domleschg;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Silvaplauna;rm;Silvaplana;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Sempione;it;Simplonpass;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Simplon;de;Simplonpass;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Sitten;de;Sion;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Suogl;rm;Soglio;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Soletta;it;Solothurn;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Soleure;fr;Solothurn;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Soloturn;rm;Solothurn;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Spleia;rm;Splügen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Passo dello Spluga;it;Splügenpass;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Saint-Gall;fr;St. Gallen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
San Gallo;it;St. Gallen;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Sogn Gagl;rm;St. Gallen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Son Gagl;rm;St. Gallen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
St-Gall;fr;St. Gallen;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
San Murezzan;rm;St. Moritz;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
San Murrezan;rm;St. Moritz;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Saint-Etienne;fr;St. Stephan;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Stürvis;de;Stierva;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Somvix;de;Sumvitg;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Socr;rm;Sur;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Sour;rm;Sur;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Obercastels;de;Surcasti;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Neukirch;de;Surcuolm;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Süs;de;Susch;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Souste;fr;Susten;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Tavel;fr;Tafers;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Tumein;rm;Tamins;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Dachsfelden;de;Tavannes;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Tinterin;fr;Tentlingen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Zihl;de;Thielle;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Thoune;fr;Thun;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Tusáun;rm;Thusis;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Casti;rm;Tiefencastel;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Tinzen;de;Tinizong;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Tràn/Traun;rm;Trans;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Traun;rm;Trans;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Treiteron;fr;Treiten;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Termin;rm;Trimmis;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Trins;de;Trin;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Truns;de;Trun;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Cierfs;de;Tschierv;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Schleins;de;Tschlin;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Tourtemagne;fr;Turtmann;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Douanne;fr;Twann;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Chouffaille;fr;Täuffelen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Ormey;fr;Ulmiz;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Vaz sut;rm;Untervaz;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Urmagn;rm;Urmein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Valcava;de;Valchava;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Valendau;rm;Valendas;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Val;rm;Vals;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Val Sogn Pieder;rm;Vals;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Varonne;fr;Varen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Villa;de;Vella;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Versomi;rm;Versam;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Vigens;de;Vignogn;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Fenis;fr;Vinelz;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Viège;fr;Visp;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Manas;de;Vnà;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Vetten;rm;Vättis;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Riva;rm;Walenstadt;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Esserts;fr;Wallenried;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Pizzo Bìela;it;Wandfluhhorn;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Rosières;fr;Welschenrohr;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Vargistagn;rm;Wergenstein;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Winterthour;fr;Winterthur;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Praborgne;fr;Zermatt;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Ziran;rm;Zillis;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Zezras;rm;Zizers;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Zir;rm;Zizers;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Zofingue;fr;Zofingen;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Zoug;fr;Zug ;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Zugo;it;Zug ;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
Turi;rm;Zürich;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Turich;rm;Zürich;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Turitg;rm;Zürich;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Zurigo;it;Zürich;https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
